PART	ANALITO	RESP	S1_NOME_SA	S2_NOME_SA
15	Bilirrubina.	4,0 mg/dL	Urofita 10DLU	Uryxxon 500
15	Corpos Cet獼icos.	100 mg/dL	Urofita 10DLU	Uryxxon 500
15	Glicose.	500 mg/dL	Urofita 10DLU	Uryxxon 500
15	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DLU	Uryxxon 500
15	Leucocitos.	25 leu/無	Urofita 10DLU	Uryxxon 500
15	Nitrito.	0,2 mg/dL	Urofita 10DLU	Uryxxon 500
15	Prote璯as.	500 mg/dL	Urofita 10DLU	Uryxxon 500
15	Urobilinog瘽io.	8 mg/dL	Urofita 10DLU	Uryxxon 500
17	Bilirrubina.	6,0 mg/dL	Cobas u pack	cobas u
17	Corpos Cet獼icos.	150 mg/dL	Cobas u pack	cobas u
17	Glicose.	1000 mg/dL	Cobas u pack	cobas u
17	Hemoglobina Hemolisada.	150 Ery/無	Cobas u pack	cobas u
17	Leucocitos.	100 leu/無	Cobas u pack	cobas u
17	Nitrito.	0,2 mg/dL	Cobas u pack	cobas u
17	Prote璯as.	500 mg/dL	Cobas u pack	cobas u
17	Urobilinog瘽io.	12 mg/dL	Cobas u pack	cobas u
34	Bilirrubina.	1,0 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
34	Corpos Cet獼icos.	20 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
34	Glicose.	1000 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
34	Hemoglobina Hemolisada.	125 Ery/無	iChem Velocity Ref.800-7204	iChem Velocity
34	Nitrito.	0,2 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
34	Prote璯as.	600 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
34	Urobilinog瘽io.	8,0 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
36	Bilirrubina.	2 mg/dL	Urivida	Urivida 200
36	Corpos Cet獼icos.	80 mg/dL	Urivida	Urivida 200
36	Glicose.	500 mg/dL	Urivida	Urivida 200
36	Hemoglobina Hemolisada.	250 Ery/無	Urivida	Urivida 200
36	Leucocitos.	0 leu/無	Urivida	Urivida 200
36	Nitrito.	0,2 mg/dL	Urivida	Urivida 200
36	Prote璯as.	300 mg/dL	Urivida	Urivida 200
36	Urobilinog瘽io.	4 mg/dL	Urivida	Urivida 200
37	Bilirrubina.	6,0 mg/dL	Combur 10M	Urisys 1100/ Urilux S
37	Corpos Cet獼icos.	150 mg/dL	Combur 10M	Urisys 1100/ Urilux S
37	Glicose.	1000 mg/dL	Combur 10M	Urisys 1100/ Urilux S
37	Hemoglobina Hemolisada.	250 Ery/無	Combur 10M	Urisys 1100/ Urilux S
37	Leucocitos.	100 leu/無	Combur 10M	Urisys 1100/ Urilux S
37	Nitrito.	0,2 mg/dL	Combur 10M	Urisys 1100/ Urilux S
37	Prote璯as.	500 mg/dL	Combur 10M	Urisys 1100/ Urilux S
37	Urobilinog瘽io.	12 mg/dL	Combur 10M	Urisys 1100/ Urilux S
42	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
42	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
42	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
42	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
42	Leucocitos.	25 leu/無	Meditape UC-11A	Sysmex UC 3500
42	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
42	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
42	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
49	Bilirrubina.	3,0 mg/dL	Labstrip U11 Plus GL	Labumat
49	Corpos Cet獼icos.	50 mg/dL	Labstrip U11 Plus GL	Labumat
49	Glicose.	1000 mg/dL	Labstrip U11 Plus GL	Labumat
49	Hemoglobina Hemolisada.	300 Ery/無	Labstrip U11 Plus GL	Labumat
49	Leucocitos.	500 leu/無	Labstrip U11 Plus GL	Labumat
49	Nitrito.	0,2 mg/dL	Labstrip U11 Plus GL	Labumat
49	Prote璯as.	100 mg/dL	Labstrip U11 Plus GL	Labumat
